UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
461537,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",23982,"R",0,"R",0,"R",0,"R",0,"R",10130,"A",,"R",0,"R",34112,"R",19511,"Z",0,"R",0,"A",,"Z",0,"R",0,"R",19511
461546,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",60188,"Z",0,"R",60188,"Z",0,"Z",0,"R",458465,"Z",0,"Z",0,"Z",0,"Z",0,"R",190496,"A",,"R",0,"R",648961,"R",185075,"Z",0,"R",325646,"A",,"Z",0,"R",0,"R",510721
461555,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",61365,"R",0,"R",0,"R",0,"R",0,"R",304718,"A",,"R",0,"R",366083,"R",60000,"R",0,"R",0,"A",,"R",0,"R",20000,"R",80000
461564,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",107302,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",107302,"R",53004,"R",0,"R",103616,"A",,"R",0,"R",10797,"R",167417
461573,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",34449,"Z",0,"Z",0,"Z",0,"R",34449,"R",31179,"Z",0,"R",1445287,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",53575,"R",1498862,"R",470387,"R",16117,"R",598603,"A",,"R",3270,"R",334826,"R",1423203
461582,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",65051,"R",0,"R",0,"R",0,"R",65051,"R",0,"R",0,"R",522470,"R",0,"R",0,"R",20500,"R",0,"R",63096,"A",,"R",65051,"R",671117,"R",51029,"R",15835,"R",128007,"A",,"Z",0,"R",399484,"R",594355
461591,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",785882,"R",0,"R",0,"R",0,"R",0,"R",280594,"A",,"R",0,"R",1066476,"R",353506,"R",0,"R",640242,"A",,"R",0,"R",0,"R",993748
461607,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",154994,"R",0,"R",76623,"R",0,"R",231617,"R",0,"R",0,"R",279556,"R",154994,"R",72723,"R",0,"R",0,"R",50283,"A",,"R",0,"R",557556,"R",101853,"R",0,"R",219089,"A",,"R",0,"R",0,"R",320942
461616,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",41937,"R",0,"R",0,"R",0,"R",41937,"R",0,"R",0,"R",320041,"R",0,"R",0,"R",0,"R",0,"R",124884,"A",,"R",0,"R",444925,"R",96889,"R",0,"R",333406,"A",,"R",0,"R",0,"R",430295
461625,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",162464,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",162464,"R",156637,"R",0,"R",0,"A",,"R",0,"R",0,"R",156637
461652,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",52825,"Z",0,"Z",0,"Z",0,"R",52825,"R",50050,"Z",0,"R",170987,"R",0,"R",0,"R",0,"R",2696,"R",132577,"A",,"R",0,"R",306260,"R",58161,"R",0,"R",0,"A",,"R",2715,"R",146200,"R",207076
461661,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",77000,"R",0,"R",77000,"R",0,"R",0,"R",257776,"R",0,"R",0,"R",0,"R",913,"Z",0,"A",,"R",0,"R",258689,"R",51509,"Z",0,"R",139940,"A",,"R",0,"R",62372,"R",253821
461670,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",22482,"R",0,"R",149916,"R",0,"R",172398,"R",18954,"R",1920,"R",23118,"R",22482,"R",149916,"R",1920,"R",-8103,"R",0,"A",,"R",0,"R",189333,"R",182210,"R",5819,"R",100103,"A",,"R",0,"R",0,"R",288132
461689,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",157304,"R",0,"R",0,"R",0,"R",425,"R",0,"A",,"R",0,"R",157729,"R",212421,"R",0,"R",158806,"A",,"R",0,"R",0,"R",371227
